tsp_mil, 20160720, c_fund, Contribution, 7.5786, 29.6703
tsp_mil, 20160819, c_fund, Contribution, 8.6889, 29.8841
tsp_mil, 20160921, c_fund, Contribution, 8.7576, 29.6496
tsp_mil, 20161026, c_fund, Contribution, 8.8411, 29.3695
tsp_mil, 20161115, c_fund, Contribution, 8.6603, 29.9829
tsp_mil, 20161223, c_fund, Contribution, 8.3204, 31.2078
tsp_mil, 20170118, c_fund, Contribution, 10.5690, 31.3558
tsp_mil, 20170201, c_fund, Contribution, 2.1058, 31.4753
tsp_mil, 20170208, c_fund, Contribution, 2.0908, 31.7006
tsp_mil, 20170215, c_fund, Contribution, 2.0403, 32.4856
tsp_mil, 20170222, c_fund, Contribution, 8.1126, 32.6799
tsp_mil, 20170308, c_fund, Contribution, 8.1023, 32.7217
tsp_mil, 20170315, c_fund, Contribution, 2.0058, 33.0444
tsp_mil, 20170322, c_fund, Contribution, 4.0737, 32.5407
tsp_mil, 20170329, c_fund, Contribution, 2.0254, 32.7240
tsp_mil, 20170406, c_fund, Contribution, 8.1090, 32.6945
tsp_mil, 20170503, c_fund, Contribution, 7.9988, 33.1449
tsp_mil, 20170515, c_fund, Contribution, 3.9716, 33.3771
tsp_mil, 20170526, c_fund, Contribution, 3.9459, 33.5942
tsp_mil, 20170609, c_fund, Contribution, 3.9172, 33.8403
tsp_mil, 20170623, c_fund, Contribution, 5.8560, 33.9550
tsp_mil, 20170905, c_fund, Contribution, 10.5194, 34.3669
tsp_mil, 20171002, c_fund, Contribution, 15.3164, 35.4051
tsp_mil, 20171102, c_fund, Contribution, 19.9958, 36.1591
tsp_mil, 20171204, c_fund, Contribution, 19.4965, 37.0851
tsp_mil, 20180102, c_fund, Contribution, 19.0654, 37.9236
tsp_mil, 20180202, c_fund, Contribution, 19.0310, 38.9033
tsp_mil, 20180302, c_fund, Contribution, 20.4657, 37.9850
tsp_mil, 20180402, c_fund, Contribution, 21.3073, 36.4846
tsp_mil, 20180502, c_fund, Contribution, 20.8495, 37.2857
tsp_mil, 20180604, c_fund, Contribution, 2.8508, 38.9570
tsp_mil, 20180702, c_fund, Contribution, 2.8684, 38.7183
tsp_mil, 20180907, c_fund, Contribution, 6.8506, 40.9334
tsp_mil, 20181001, c_fund, Contribution, 5.4984, 41.7249
tsp_mil, 20181010, c_fund, Contribution, 2.8847, 39.7650
tsp_mil, 20181101, c_fund, Contribution, 1.4655, 39.1410
tsp_mil, 20181107, c_fund, Contribution, 22.8288, 40.1997
tsp_mil, 20181128, c_fund, Contribution, 5.8423, 39.2691
tsp_mil, 20181219, c_fund, Contribution, 3.1922, 35.9343
tsp_mil, 20181221, c_fund, Contribution, 3.3115, 34.6400
tsp_mil, 20190125, c_fund, Contribution, 6.1535, 38.2549
tsp_mil, 20190301, c_fund, Contribution, 2.9165, 40.3567
tsp_mil, 20190315, c_fund, Contribution, 5.7888, 40.6644
tsp_mil, 20190405, c_fund, Contribution, 5.6435, 41.7117
tsp_mil, 20190510, c_fund, Contribution, 5.6555, 41.6230
tsp_mil, 20190531, c_fund, Contribution, 5.9131, 39.8099
tsp_mil, 20190705, c_fund, Contribution, 5.4320, 43.3355
tsp_mil, 20190809, c_fund, Contribution, 5.5567, 42.3629
tsp_mil, 20190821, c_fund, Contribution, 1.3850, 42.4904
tsp_mil, 20190906, c_fund, Contribution, 2.7171, 43.3186
tsp_mil, 20200415, c_fund, Contribution, 15.8120, 40.9303
tsp_mil, 20200708, c_fund, Contribution, 2.3043, 46.8131
tsp_mil, 20200923, c_fund, Contribution, 10.0297, 47.9774
tsp_mil, 20210120, c_fund, Contribution, 8.6382, 57.3777
tsp_mil, 20210122, c_fund, Contribution, 4.3304, 57.2283
tsp_mil, 20210210, c_fund, Contribution, 8.5035, 58.2868
tsp_mil, 20210301, c_fund, Contribution, 4.2562, 58.2263
tsp_mil, 20210305, c_fund, Contribution, 4.3213, 57.3487
tsp_mil, 20210409, c_fund, Contribution, 56.2151, 61.7171
tsp_mil, 20210428, c_fund, Contribution, 11.8858, 62.5502
tsp_mil, 20210507, c_fund, Contribution, 3.9140, 63.3169
tsp_mil, 20210514, c_fund, Contribution, 1.9837, 62.4643
tsp_mil, 20210615, c_fund, Contribution, 1.9468, 63.6469
tsp_mil, 20210623, c_fund, Contribution, 1.9488, 63.5837
tsp_mil, 20210723, c_fund, Contribution, 7.4875, 66.1957
tsp_mil, 20210811, c_fund, Contribution, 22.2694, 66.7687
tsp_mil, 20210908, c_fund, Contribution, 1.8261, 67.8558
tsp_mil, 20210910, c_fund, Contribution, 1.8486, 67.0305
tsp_mil, 20210917, c_fund, Contribution, 1.8586, 66.6676
tsp_mil, 20210929, c_fund, Contribution, 3.7789, 65.5800
