tsp_mil, 20160422, l2050, Interfund Transfer, 5.8610, 15.3541
tsp_mil, 20160525, l2050, Contribution, 8.8149, 15.3059
tsp_mil, 20160615, l2050, Contribution, 29.7668, 15.1081
tsp_mil, 20160720, l2050, Contribution, 7.1454, 15.7346
tsp_mil, 20160819, l2050, Contribution, 8.1424, 15.9450
tsp_mil, 20160921, l2050, Contribution, 8.1633, 15.9041
tsp_mil, 20161026, l2050, Contribution, 8.2539, 15.7296
tsp_mil, 20161115, l2050, Contribution, 8.1563, 15.9178
tsp_mil, 20161223, l2050, Contribution, 7.9194, 16.3940
tsp_mil, 20170118, l2050, Contribution, 9.9935, 16.5808
tsp_mil, 20170201, l2050, Contribution, 1.9913, 16.6426
tsp_mil, 20170208, l2050, Contribution, 1.9820, 16.7203
tsp_mil, 20170215, l2050, Contribution, 1.9504, 16.9918
tsp_mil, 20170222, l2050, Contribution, 7.7648, 17.0719
tsp_mil, 20170308, l2050, Contribution, 7.7947, 17.0065
tsp_mil, 20170315, l2050, Contribution, 1.9255, 17.2113
tsp_mil, 20170322, l2050, Contribution, 3.8882, 17.0466
tsp_mil, 20170329, l2050, Contribution, 1.9286, 17.1835
tsp_mil, 20170406, l2050, Contribution, 7.7393, 17.1281
tsp_mil, 20170503, l2050, Contribution, 7.5987, 17.4452
tsp_mil, 20170515, l2050, Contribution, 3.7669, 17.5953
tsp_mil, 20170526, l2050, Contribution, 3.7473, 17.6873
tsp_mil, 20170609, l2050, Contribution, 3.7200, 17.8170
tsp_mil, 20170623, l2050, Contribution, 5.5713, 17.8451
tsp_mil, 20170905, l2050, Contribution, 9.9950, 18.0851
tsp_mil, 20171002, l2050, Contribution, 14.5998, 18.5715
tsp_mil, 20171102, l2050, Contribution, 19.1695, 18.8586
tsp_mil, 20171204, l2050, Contribution, 18.8840, 19.1437
tsp_mil, 20180102, l2050, Contribution, 18.5419, 19.4969
tsp_mil, 20180202, l2050, Contribution, 18.6148, 19.8863
tsp_mil, 20180302, l2050, Contribution, 20.0477, 19.3883
tsp_mil, 20180402, l2050, Contribution, 20.4761, 18.9826
tsp_mil, 20180502, l2050, Contribution, 20.0672, 19.3694
tsp_mil, 20180604, l2050, Contribution, 2.7909, 19.8968
tsp_mil, 20180702, l2050, Contribution, 2.8241, 19.6630
tsp_mil, 20180907, l2050, Contribution, 6.9280, 20.2382
tsp_mil, 20181001, l2050, Contribution, 5.5802, 20.5565
tsp_mil, 20181010, l2050, Contribution, 2.9125, 19.6908
tsp_mil, 20181101, l2050, Contribution, 1.4762, 19.4284
tsp_mil, 20181107, l2050, Contribution, 23.1654, 19.8076
tsp_mil, 20181128, l2050, Contribution, 5.8948, 19.4594
tsp_mil, 20181219, l2050, Contribution, 3.1505, 18.2036
tsp_mil, 20181221, l2050, Contribution, 3.2363, 17.7211
tsp_mil, 20190125, l2050, Contribution, 6.1218, 19.2265
tsp_mil, 20190301, l2050, Contribution, 2.9346, 20.0535
tsp_mil, 20190315, l2050, Contribution, 5.8431, 20.1433
tsp_mil, 20190405, l2050, Contribution, 5.7363, 20.5186
tsp_mil, 20190510, l2050, Contribution, 5.7682, 20.4051
tsp_mil, 20190531, l2050, Contribution, 5.9448, 19.7989
tsp_mil, 20190705, l2050, Contribution, 5.5785, 21.0990
tsp_mil, 20190809, l2050, Contribution, 5.7181, 20.5836
tsp_mil, 20190821, l2050, Contribution, 1.4277, 20.6060
tsp_mil, 20190906, l2050, Contribution, 2.8103, 20.9411
tsp_mil, 20200415, l2050, Contribution, 16.8138, 19.2455
tsp_mil, 20200708, l2050, Contribution, 2.4661, 21.8687
tsp_mil, 20200923, l2050, Contribution, 10.7807, 22.3177
tsp_mil, 20210120, l2050, Contribution, 9.3571, 26.4848
tsp_mil, 20210122, l2050, Contribution, 4.6839, 26.4545
tsp_mil, 20210210, l2050, Contribution, 9.2173, 26.8865
tsp_mil, 20210301, l2050, Contribution, 4.6311, 26.7559
tsp_mil, 20210305, l2050, Contribution, 4.7023, 26.3509
tsp_mil, 20210409, l2050, Contribution, 62.7518, 27.6440
tsp_mil, 20210428, l2050, Contribution, 13.2594, 28.0353
tsp_mil, 20210507, l2050, Contribution, 4.3928, 28.2076
tsp_mil, 20210514, l2050, Contribution, 2.2225, 27.8739
tsp_mil, 20210615, l2050, Contribution, 2.1666, 28.5935
tsp_mil, 20210623, l2050, Contribution, 2.1804, 28.4120
tsp_mil, 20210723, l2050, Contribution, 8.5735, 28.9052
tsp_mil, 20210811, l2050, Contribution, 25.4732, 29.1856
tsp_mil, 20210908, l2050, Contribution, 2.1002, 29.4976
tsp_mil, 20210910, l2050, Contribution, 2.1156, 29.2818
tsp_mil, 20210917, l2050, Contribution, 2.1248, 29.1552
tsp_mil, 20210929, l2050, Contribution, 4.3243, 28.6545

