,tsp_l2050,tsp_g_fund,tsp_c_fund,tsp_s_fund
2010-05-01,0.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,0.0
2011-01-01,0.0,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0,0.0
2011-07-01,0.0,0.0,0.0,0.0
2011-08-01,0.0,0.0,0.0,0.0
2011-09-01,0.0,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0,0.0
2011-11-01,0.0,0.0,0.0,0.0
2011-12-01,0.0,0.0,0.0,0.0
2012-01-01,0.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,0.0
2012-07-01,0.0,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,0.0
2016-05-01,5.861,0.0,0.0,0.0
2016-06-01,14.675899999999999,0.0,0.0,0.0
2016-07-01,44.4427,0.0,0.0,0.0
2016-08-01,51.588100000000004,0.0,7.5786,2.975
2016-09-01,59.730500000000006,0.0,16.2675,6.3583
2016-10-01,67.8938,0.0,25.0251,9.7279
2016-11-01,76.1477,0.0,33.8662,13.1857
2016-12-01,84.304,0.0,42.5265,16.463
2017-01-01,92.2234,0.0,50.8469,19.601
2017-02-01,104.20819999999999,0.0,63.5217,24.371299999999998
2017-03-01,115.90539999999999,0.0,75.7654,28.9918
2017-04-01,131.4424,0.0,91.9726,35.2549
2017-05-01,139.18169999999998,0.0,100.0816,38.3768
2017-06-01,154.29459999999997,0.0,115.99789999999999,44.5148
2017-07-01,163.58589999999998,0.0,125.77109999999998,48.2785
2017-08-01,163.58589999999998,0.0,125.77109999999998,48.2785
2017-09-01,163.58589999999998,0.0,125.77109999999998,48.2785
2017-10-01,173.58089999999999,0.0,136.29049999999998,52.3772
2017-11-01,188.18069999999997,0.0,151.60689999999997,58.1882
2017-12-01,207.35019999999997,0.0,171.60269999999997,65.9211
2018-01-01,226.2342,0.0,191.09919999999997,73.4598
2018-02-01,244.77609999999999,0.0,210.16459999999998,80.858
2018-03-01,263.3909,0.0,229.19559999999998,88.3799
2018-04-01,283.4386,0.0,249.66129999999998,96.37700000000001
2018-05-01,303.9147,0.0,270.9686,104.58100000000002
2018-06-01,323.9819,0.0,291.81809999999996,112.54550000000002
2018-07-01,326.7728,0.0,294.66889999999995,113.61860000000001
2018-08-01,329.5969,0.0,297.53729999999996,114.69270000000002
2018-09-01,329.5969,0.0,297.53729999999996,114.69270000000002
2018-10-01,342.1051,0.0,309.88629999999995,119.44860000000001
2018-11-01,346.4938,0.0,314.2365,121.17790000000002
2018-12-01,375.554,0.0,342.9076,132.63370000000003
2019-01-01,381.94079999999997,0.0,349.41130000000004,135.30390000000003
2019-02-01,388.0626,0.0,355.56480000000005,137.73580000000004
2019-03-01,390.99719999999996,0.0,358.48130000000003,138.86990000000003
2019-04-01,396.84029999999996,0.0,364.2701,141.16950000000003
2019-05-01,402.5766,0.0,369.91360000000003,143.42020000000002
2019-06-01,414.28959999999995,0.0,381.48220000000003,148.06980000000004
2019-07-01,414.28959999999995,0.0,381.48220000000003,148.06980000000004
2019-08-01,419.86809999999997,0.0,386.91420000000005,150.28020000000004
2019-09-01,427.0139,0.0,393.8559,153.12810000000005
2019-10-01,429.82419999999996,0.0,396.57300000000004,154.26640000000003
2019-11-01,429.82419999999996,0.0,396.57300000000004,154.26640000000003
2019-12-01,429.82419999999996,0.0,396.57300000000004,154.26640000000003
2020-01-01,429.82419999999996,0.0,396.57300000000004,154.26640000000003
2020-02-01,429.82419999999996,0.0,396.57300000000004,154.26640000000003
2020-03-01,429.82419999999996,0.0,396.57300000000004,154.26640000000003
2020-04-01,429.82419999999996,0.0,396.57300000000004,154.26640000000003
2020-05-01,446.638,0.0,412.38500000000005,161.84530000000004
2020-06-01,446.638,0.0,412.38500000000005,161.84530000000004
2020-07-01,446.638,0.0,412.38500000000005,161.84530000000004
2020-08-01,449.10409999999996,0.0,414.68930000000006,162.84550000000004
2020-09-01,449.10409999999996,0.0,414.68930000000006,162.84550000000004
2020-10-01,462.5029,0.0,427.11890000000005,168.16620000000006
2020-11-01,480.4943,0.0,443.5911000000001,174.96000000000004
2020-12-01,505.78970000000004,0.0,466.7915000000001,184.44150000000002
2021-01-01,508.14360000000005,0.0,468.9823000000001,185.23690000000002
2021-02-01,522.1846,0.0,481.9509000000001,189.90470000000002
2021-03-01,536.033,0.0,494.71060000000006,194.35620000000003
2021-04-01,540.7353,0.0,499.03190000000006,195.93280000000004
2021-05-01,616.7465000000001,0.0,567.1328000000001,221.43990000000002
2021-06-01,623.3618,0.0,573.0305000000001,223.7176
2021-07-01,627.7088,0.0,576.9261000000001,225.1811
2021-08-01,636.2823,0.0,584.4136000000001,228.10989999999998
2021-09-01,661.7555,0.0,606.6830000000001,236.83299999999997
2021-10-01,672.4204,0.0,615.9952000000002,240.50189999999995
